TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Atlanta Hawks,38,20,18,0.526,53,129,41,92,44.6,9,39,23.1,38,54,70.4,12,38,50,19,18,15,10,4,42,32,1
Boston Celtics,37,20,17,0.541,53,160,45,101,44.6,13,45,28.9,57,67,85.1,17,28,45,18,14,9,5,5,37,42,-16
Brooklyn Nets,39,21,18,0.538,55,171,51,114,44.7,22,53,41.5,47,66,71.2,21,35,56,24,17,7,5,9,42,42,18
Charlotte Hornets,34,15,19,0.441,55,148,39,104,37.5,15,56,26.8,55,70,78.6,13,45,58,13,14,4,10,10,41,49,-6
Chicago Bulls,34,14,20,0.412,52,112,34,90,37.8,9,28,32.1,35,46,76.1,12,36,48,14,21,4,9,10,48,32,-46
Cleveland Cavaliers,28,11,17,0.393,40,107,34,82,41.5,10,29,34.5,29,41,70.7,13,41,54,14,9,5,2,9,34,31,6
Dallas Mavericks,40,18,22,0.450,60,161,46,110,41.8,11,49,22.4,58,87,66.7,18,40,58,15,12,8,6,5,45,50,-13
Denver Nuggets,44,29,15,0.659,63,173,53,118,44.9,11,37,29.7,56,79,70.9,21,43,64,28,26,8,8,7,42,52,17
Detroit Pistons,35,19,16,0.543,60,169,52,110,47.3,17,39,43.6,48,56,85.7,21,39,60,21,18,11,3,6,48,37,-13
Golden State Warriors,33,19,14,0.576,51,147,39,87,44.8,17,38,44.7,52,64,81.3,14,49,63,18,15,6,6,5,34,42,34
Houston Rockets,35,20,15,0.571,51,153,33,84,39.3,16,54,29.6,71,89,79.8,11,35,46,13,14,10,11,4,42,54,10
Indiana Pacers,38,21,17,0.553,45,148,45,82,54.9,16,32,50.0,42,54,77.8,10,35,45,26,17,8,5,5,30,37,27
LA Clippers,35,22,13,0.629,49,147,40,88,45.5,11,33,33.3,56,73,76.7,14,35,49,17,10,6,5,4,26,44,23
Los Angeles Lakers,38,19,19,0.500,54,147,42,107,39.3,11,49,22.4,52,71,73.2,22,37,59,21,19,9,8,10,40,43,-14
Memphis Grizzlies,42,16,26,0.381,62,141,42,111,37.8,10,39,25.6,47,65,72.3,12,36,48,22,20,11,9,9,62,41,-69
Miami Heat,40,21,19,0.525,64,136,40,130,30.8,8,58,13.8,48,68,70.6,28,52,80,17,26,10,7,9,51,47,-12
Milwaukee Bucks,29,15,14,0.517,47,133,43,84,51.2,12,30,40.0,35,50,70.0,12,31,43,23,16,12,5,3,36,31,-6
Minnesota Timberwolves,39,17,22,0.436,63,134,47,118,39.8,9,40,22.5,31,48,64.6,24,43,67,21,22,8,11,12,44,37,-34
New Orleans Pelicans,42,17,25,0.405,59,149,42,116,36.2,11,47,23.4,54,75,72.0,14,47,61,27,11,11,8,10,61,49,-1
New York Knicks,30,10,20,0.333,47,136,35,82,42.7,9,38,23.7,57,70,81.4,13,32,45,17,11,11,7,4,36,33,1
Oklahoma City Thunder,38,17,21,0.447,62,207,55,127,43.3,22,69,31.9,75,88,85.2,20,50,70,30,20,13,5,7,55,51,37
Orlando Magic,39,21,18,0.538,60,164,50,105,47.6,12,43,27.9,52,68,76.5,12,50,62,28,28,10,7,5,43,46,23
Philadelphia 76ers,40,25,15,0.625,60,187,43,99,43.4,16,42,38.1,85,114,74.6,17,42,59,23,21,11,7,6,41,67,13
Phoenix Suns,30,11,19,0.367,46,119,39,83,47.0,6,30,20.0,35,42,83.3,10,34,44,15,14,7,11,4,44,28,-29
Portland Trail Blazers,34,20,14,0.588,46,157,47,99,47.5,14,31,45.2,49,67,73.1,16,36,52,21,6,9,6,5,30,37,46
Sacramento Kings,45,21,24,0.467,65,183,52,130,40.0,11,41,26.8,68,87,78.2,21,37,58,23,12,12,4,15,48,52,3
San Antonio Spurs,37,21,16,0.568,53,128,37,92,40.2,10,30,33.3,44,52,84.6,8,31,39,18,18,8,2,6,33,37,-32
Toronto Raptors,35,20,15,0.571,60,159,52,122,42.6,11,41,26.8,44,49,89.8,17,43,60,22,14,7,7,4,39,33,18
Utah Jazz,29,12,17,0.414,40,123,31,82,37.8,8,37,21.6,53,68,77.9,16,28,44,8,12,6,7,8,35,40,13
Washington Wizards,35,14,21,0.400,53,153,48,108,44.4,18,58,31.0,39,46,84.8,15,35,50,31,19,11,12,8,40,33,1